es_id	usergroupid	alipayid	data_date
CONSUME_U_06_002_002_2088702522198954	CONSUME_U_06_002_002	2088702522198954	2020-11-05
CONSUME_U_06_002_002_2088702705164611	CONSUME_U_06_002_002	2088702705164611	2020-11-05
CONSUME_U_06_002_003_2088102162733131	CONSUME_U_06_002_003	2088102162733131	2020-11-05
CONSUME_U_06_002_004_2088902960871042	CONSUME_U_06_002_004	2088902960871042	2020-11-05
CONSUME_U_06_002_006_2088012814729990	CONSUME_U_06_002_006	2088012814729990	2020-11-05
CONSUME_U_06_002_006_2088102169193934	CONSUME_U_06_002_006	2088102169193934	2020-11-05
CONSUME_U_06_003_001_2088102078688534	CONSUME_U_06_003_001	2088102078688534	2020-11-05
CONSUME_U_06_003_001_2088302320804202	CONSUME_U_06_003_001	2088302320804202	2020-11-05
CONSUME_U_06_003_001_2088702131372873	CONSUME_U_06_003_001	2088702131372873	2020-11-05
CONSUME_U_06_003_001_2088702424434798	CONSUME_U_06_003_001	2088702424434798	2020-11-05
CONSUME_U_06_003_001_2088802516643320	CONSUME_U_06_003_001	2088802516643320	2020-11-05
CONSUME_U_06_003_001_2088802814936900	CONSUME_U_06_003_001	2088802814936900	2020-11-05
CONSUME_U_06_003_002_2088202226189037	CONSUME_U_06_003_002	2088202226189037	2020-11-05
CONSUME_U_06_003_002_2088302845425669	CONSUME_U_06_003_002	2088302845425669	2020-11-05
CONSUME_U_06_003_002_2088702475753101	CONSUME_U_06_003_002	2088702475753101	2020-11-05
CONSUME_U_06_003_002_2088902509535767	CONSUME_U_06_003_002	2088902509535767	2020-11-05
CONSUME_U_06_003_003_2088012238029524	CONSUME_U_06_003_003	2088012238029524	2020-11-05
CONSUME_U_06_003_003_2088112266310312	CONSUME_U_06_003_003	2088112266310312	2020-11-05
CONSUME_U_06_003_003_2088402787548681	CONSUME_U_06_003_003	2088402787548681	2020-11-05
CONSUME_U_06_003_003_2088502029624664	CONSUME_U_06_003_003	2088502029624664	2020-11-05
CONSUME_U_06_003_003_2088702292854236	CONSUME_U_06_003_003	2088702292854236	2020-11-05
CONSUME_U_06_003_003_2088802941716343	CONSUME_U_06_003_003	2088802941716343	2020-11-05
CONSUME_U_06_003_003_ooLHq00xVKUkclqSMypDe0AHkKLc	CONSUME_U_06_003_003	ooLHq00xVKUkclqSMypDe0AHkKLc	2020-11-05
CONSUME_U_06_003_003_ooLHq04fONOb464yZE5I5YLfISkU	CONSUME_U_06_003_003	ooLHq04fONOb464yZE5I5YLfISkU	2020-11-05
CONSUME_U_06_004_001_2088022321939573	CONSUME_U_06_004_001	2088022321939573	2020-11-05
CONSUME_U_06_004_001_2088202432613829	CONSUME_U_06_004_001	2088202432613829	2020-11-05
CONSUME_U_06_004_001_2088202840404394	CONSUME_U_06_004_001	2088202840404394	2020-11-05
CONSUME_U_06_004_001_2088412550955729	CONSUME_U_06_004_001	2088412550955729	2020-11-05
CONSUME_U_06_004_001_2088502959059095	CONSUME_U_06_004_001	2088502959059095	2020-11-05
CONSUME_U_06_004_001_2088612253740275	CONSUME_U_06_004_001	2088612253740275	2020-11-05
CONSUME_U_06_004_001_2088612496613945	CONSUME_U_06_004_001	2088612496613945	2020-11-05
CONSUME_U_06_004_001_2088702475753101	CONSUME_U_06_004_001	2088702475753101	2020-11-05
CONSUME_U_06_004_001_2088802941716343	CONSUME_U_06_004_001	2088802941716343	2020-11-05
CONSUME_U_06_004_001_2088902509535767	CONSUME_U_06_004_001	2088902509535767	2020-11-05
CONSUME_U_06_004_005_2088702105597211	CONSUME_U_06_004_005	2088702105597211	2020-11-05
CONSUME_U_06_004_005_oS6w50jxbnyZf-giSj24iqNzWMSI	CONSUME_U_06_004_005	oS6w50jxbnyZf-giSj24iqNzWMSI	2020-11-05
CONSUME_U_06_004_005_ooLHq00xVKUkclqSMypDe0AHkKLc	CONSUME_U_06_004_005	ooLHq00xVKUkclqSMypDe0AHkKLc	2020-11-05
ACTION_U_01_001_002_2088102078688534	ACTION_U_01_001_002	2088102078688534	2020-11-05
ACTION_U_01_001_002_2088102169667471	ACTION_U_01_001_002	2088102169667471	2020-11-05
ACTION_U_01_001_002_2088302207657855	ACTION_U_01_001_002	2088302207657855	2020-11-05
ACTION_U_01_001_002_2088602259892252	ACTION_U_01_001_002	2088602259892252	2020-11-05
ACTION_U_01_001_003_2088302500944906	ACTION_U_01_001_003	2088302500944906	2020-11-05
ACTION_U_01_001_004_2088302554713525	ACTION_U_01_001_004	2088302554713525	2020-11-05
ACTION_U_01_001_004_2088902960871042	ACTION_U_01_001_004	2088902960871042	2020-11-05
ACTION_U_01_001_005_2088202881027350	ACTION_U_01_001_005	2088202881027350	2020-11-05
ACTION_U_01_001_005_2088302413157710	ACTION_U_01_001_005	2088302413157710	2020-11-05
ACTION_U_01_001_007_2088102844497517	ACTION_U_01_001_007	2088102844497517	2020-11-05
ACTION_U_01_001_007_2088512865335468	ACTION_U_01_001_007	2088512865335468	2020-11-05
ACTION_U_01_001_007_2088702705164611	ACTION_U_01_001_007	2088702705164611	2020-11-05
ACTION_U_01_002_003_2088302063603810	ACTION_U_01_002_003	2088302063603810	2020-11-05
ACTION_U_01_002_003_ooLHq00xVKUkclqSMypDe0AHkKLc	ACTION_U_01_002_003	ooLHq00xVKUkclqSMypDe0AHkKLc	2020-11-05
ACTION_U_01_002_004_2088002437839277	ACTION_U_01_002_004	2088002437839277	2020-11-05
ACTION_U_01_002_004_2088302845425669	ACTION_U_01_002_004	2088302845425669	2020-11-05
ACTION_U_01_002_004_2088902445722487	ACTION_U_01_002_004	2088902445722487	2020-11-05
ACTION_U_01_002_006_2088402787548681	ACTION_U_01_002_006	2088402787548681	2020-11-05
ACTION_U_01_002_006_oS6w50jxbnyZf-giSj24iqNzWMSI	ACTION_U_01_002_006	oS6w50jxbnyZf-giSj24iqNzWMSI	2020-11-05
ACTION_U_01_002_007_2088012814729990	ACTION_U_01_002_007	2088012814729990	2020-11-05
ACTION_U_01_002_007_2088022582856053	ACTION_U_01_002_007	2088022582856053	2020-11-05
ACTION_U_01_002_007_2088302320804202	ACTION_U_01_002_007	2088302320804202	2020-11-05
ACTION_U_01_002_007_2088722194590041	ACTION_U_01_002_007	2088722194590041	2020-11-05
ACTION_U_01_002_007_2088732480179580	ACTION_U_01_002_007	2088732480179580	2020-11-05
ACTION_U_01_002_007_2088802516643320	ACTION_U_01_002_007	2088802516643320	2020-11-05
ACTION_U_02_001_006_0000000000000000	ACTION_U_02_001_006	0000000000000000	2020-11-05
ACTION_U_02_001_006_2088302964261058	ACTION_U_02_001_006	2088302964261058	2020-11-05
ACTION_U_02_001_007_2088302413157710	ACTION_U_02_001_007	2088302413157710	2020-11-05
ACTION_U_02_001_007_2088502850391131	ACTION_U_02_001_007	2088502850391131	2020-11-05
ACTION_U_02_001_007_2088702522198954	ACTION_U_02_001_007	2088702522198954	2020-11-05
ACTION_U_02_002_006_2088702424434798	ACTION_U_02_002_006	2088702424434798	2020-11-05
ACTION_U_02_002_007_2088022321939573	ACTION_U_02_002_007	2088022321939573	2020-11-05
ACTION_U_02_002_007_2088202840404394	ACTION_U_02_002_007	2088202840404394	2020-11-05
ACTION_U_02_002_007_2088502029624664	ACTION_U_02_002_007	2088502029624664	2020-11-05
ACTION_U_02_002_007_2088612253740275	ACTION_U_02_002_007	2088612253740275	2020-11-05
ACTION_U_02_002_007_2088612425869399	ACTION_U_02_002_007	2088612425869399	2020-11-05
ACTION_U_02_002_007_2088612496613945	ACTION_U_02_002_007	2088612496613945	2020-11-05
ACTION_U_02_002_007_2088702027136161	ACTION_U_02_002_007	2088702027136161	2020-11-05
ACTION_U_02_002_007_2088702475753101	ACTION_U_02_002_007	2088702475753101	2020-11-05
ACTION_U_02_002_007_2088902509535767	ACTION_U_02_002_007	2088902509535767	2020-11-05
ATTRITUBE_U_01_001_001_2088002100854705	ATTRITUBE_U_01_001_001	2088002100854705	2020-11-05
ATTRITUBE_U_01_001_001_2088202509650340	ATTRITUBE_U_01_001_001	2088202509650340	2020-11-05
ATTRITUBE_U_01_001_001_2088512221279108	ATTRITUBE_U_01_001_001	2088512221279108	2020-11-05
ATTRITUBE_U_01_001_001_2088802247336924	ATTRITUBE_U_01_001_001	2088802247336924	2020-11-05
ATTRITUBE_U_01_001_001_2088902001181493	ATTRITUBE_U_01_001_001	2088902001181493	2020-11-05
ATTRITUBE_U_01_001_001_2088902408185650	ATTRITUBE_U_01_001_001	2088902408185650	2020-11-05
ATTRITUBE_U_01_001_002_2088102078688534	ATTRITUBE_U_01_001_002	2088102078688534	2020-11-05
ATTRITUBE_U_01_001_002_2088102201988391	ATTRITUBE_U_01_001_002	2088102201988391	2020-11-05
ATTRITUBE_U_01_001_002_2088112721209834	ATTRITUBE_U_01_001_002	2088112721209834	2020-11-05
ATTRITUBE_U_01_001_002_2088702522198954	ATTRITUBE_U_01_001_002	2088702522198954	2020-11-05
ATTRITUBE_U_04_001_026_2088102169193934	ATTRITUBE_U_04_001_026	2088102169193934	2020-11-05
ATTRITUBE_U_04_001_034_2088102169353990	ATTRITUBE_U_04_001_034	2088102169353990	2020-11-05
ATTRITUBE_U_04_002_088_2088102169193934	ATTRITUBE_U_04_002_088	2088102169193934	2020-11-05
ATTRITUBE_U_04_002_235_2088102169193934	ATTRITUBE_U_04_002_235	2088102169193934	2020-11-05
ATTRITUBE_U_05_001_003_2088302448449615	ATTRITUBE_U_05_001_003	2088302448449615	2020-11-05
ATTRITUBE_U_05_001_018_2088302413157710	ATTRITUBE_U_05_001_018	2088302413157710	2020-11-05
ATTRITUBE_U_05_001_037_2088102162733131	ATTRITUBE_U_05_001_037	2088102162733131	2020-11-05
ATTRITUBE_U_05_001_051_2088102169667471	ATTRITUBE_U_05_001_051	2088102169667471	2020-11-05
ATTRITUBE_U_05_001_051_2088602259892252	ATTRITUBE_U_05_001_051	2088602259892252	2020-11-05
ATTRITUBE_U_05_001_069_123	ATTRITUBE_U_05_001_069	123	2020-11-05
ATTRITUBE_U_05_001_069_2088102159039042	ATTRITUBE_U_05_001_069	2088102159039042	2020-11-05
ATTRITUBE_U_05_001_069_2088102169353990	ATTRITUBE_U_05_001_069	2088102169353990	2020-11-05
ATTRITUBE_U_05_001_069_2088102169667471	ATTRITUBE_U_05_001_069	2088102169667471	2020-11-05
ATTRITUBE_U_05_001_069_2088302413157710	ATTRITUBE_U_05_001_069	2088302413157710	2020-11-05
ATTRITUBE_U_05_001_069_2088302448449615	ATTRITUBE_U_05_001_069	2088302448449615	2020-11-05
